,monthly_income,gig_economy_weekly_income,atm_check_deposits_weekly_income,direct_deposit_weekly_income,government_aid_weekly_income,frequency_heuristic_weekly_income,large_deposits_weekly_income,income_length,payrolls_per_month,income_sources,days_since_most_recent_payroll,days_until_next_payroll,bank_balance,overdraft_transactions,nsf_transactions,return_transactions,reverse_transactions,length_of_transaction_history,mortgage,auto_loan,student_loan,traditional_single_payment,installment_loan,predatory_installment_loan,title_loan,pay_advances,total_loan_payments,no_of_other_active_loans,traditional_single_payment_mean,traditional_single_payment_trend,loan_amount,loan_requested,state,status
0,881.44,0.0,0.0,220.36,0.0,0.0,0.0,174,2.1666666666666665,1,6,7,15.56,0,0,0,0,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,150.0,2,0.0,0.0,90.0,90.0,"""CA""",1
1,1612.38,0.0,0.0,346.845,0.0,56.25,0.0,206,4.85,2,0,0,5.28,0,0,1,0,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,100.0,255.0,"""CA""",1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,-1,-1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,300.0,500.0,"""WA""",1
3,1510.51,0.0,0.0,0.0,0.0,377.6275,0.0,16,2.0,1,2,11,136.25,0,0,0,0,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,150.0,350.0,"""WA""",0
4,620.0,0.0,155.0,0.0,0.0,0.0,0.0,131,17.75,5,5,-1,-30.42,1,7,2,0,178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0,500.0,"""WA""",0
5,5506.43,0.0,0.0,1376.6075,0.0,0.0,0.0,180,2.833333333333333,2,1,1,-45.28,6,2,3,1,180,0.0,59.2,0.0,25.0,0.0,0.0,0.0,0.0,84.2,4,1.3333333333333333,-1.7296588791583533e-12,300.0,300.0,"""ID""",0
6,838.38,0.0,25.0,184.595,0.0,0.0,0.0,26,5.0,3,2,4,2.98,0,0,0,0,180,0.0,0.0,0.0,0.0,390.0,0.0,0.0,0.0,390.0,2,0.0,0.0,150.0,200.0,"""CA""",1
7,1550.32,0.0,0.0,387.58,0.0,0.0,0.0,53,2.0,1,11,2,620.0,0,0,2,1,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,2,0.0,0.0,65.0,65.0,"""CA""",1
8,1122.46,0.0,25.0,0.0,0.0,199.615,56.0,353,5.409090909090909,3,3,10,0.0,0,0,0,0,364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,2.6370835772390914e-17,100.0,300.0,"""WA""",1
9,1849.49,0.0,0.0,462.3725,0.0,0.0,0.0,165,1.0,1,12,17,1200.09,0,0,0,0,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,200.0,500.0,"""WA""",1
10,4535.59,0.0,376.25,0.0,0.0,0.0,757.6475,176,7.904761904761903,3,2,-1,-25.47,0,30,0,0,180,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,3,0.0,0.0,300.0,500.0,"""UT""",1
11,2074.16,0.0,0.0,518.54,0.0,0.0,0.0,142,3.0,2,2,11,504.53,0,1,0,0,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,2,0.0,0.0,200.0,250.0,"""WA""",1
12,1120.0,0.0,280.0,0.0,0.0,0.0,0.0,115,2.4,1,8,-1,5.13,1,0,0,0,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,250.0,500.0,"""WA""",1
13,5110.299999999998,80.32499999999997,185.75,526.2974999999999,0.0,0.0,485.2025,177,16.338095238095235,5,1,0,1.86,4,0,10,3,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,170.0,255.0,"""CA""",1
14,1877.48,0.0,0.0,469.37,0.0,0.0,0.0,306,0.18181818181818185,1,3,-1,-16.84,3,1,0,0,319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,250.0,400.0,"""WA""",0
15,1464.0300000000002,0.0,0.0,366.00750000000005,0.0,0.0,0.0,172,2.1666666666666665,1,4,9,5.67,0,0,0,0,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,150.0,300.0,"""WA""",1
16,3741.19,0.0,375.0,560.2975,0.0,0.0,0.0,170,2.7142857142857144,2,2,12,134.54,0,0,0,1,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1600.0,3,0.0,0.0,200.0,500.0,"""WA""",0
17,1933.93,0.0,0.0,0.0,0.0,483.4825,0.0,77,2.0,1,7,6,64.48,6,0,0,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,200.0,250.0,"""UT""",1
18,4707.37,0.0,0.0,1176.8425,0.0,0.0,0.0,173,4.228571428571429,2,1,8,0.95,0,0,5,0,174,0.0,0.0,0.0,0.0,25.0,110.0,0.0,0.0,292.0,4,0.0,0.0,350.0,500.0,"""UT""",1
19,1302.72,0.0,0.0,325.68,0.0,0.0,0.0,179,1.1666666666666667,1,11,5,41.82,0,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,1,0.0,0.0,100.0,255.0,"""CA""",0
20,1919.95,0.0,232.3475,0.0,0.0,247.64,0.0,353,5.041666666666666,2,3,10,7.68,2,0,0,0,364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,100.0,400.0,"""WA""",1
21,4224.82,0.0,35.0,0.0,0.0,1021.205,0.0,120,4.6,2,8,5,0.18,2,0,0,0,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,1,0.0,0.0,200.0,200.0,"""CA""",0
22,5447.97,0.0,0.0,818.3125,0.0,543.6800000000002,0.0,89,9.0,2,2,2,72.38,6,0,0,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0,200.0,"""WA""",1
23,2358.44,0.0,0.0,0.0,0.0,589.61,0.0,77,2.0,1,0,13,938.08,0,0,0,0,92,0.0,51.54,0.0,255.0,0.0,0.0,0.0,0.0,506.54,5,2.0,5.3451790319294616e-17,150.0,255.0,"""CA""",1
24,3250.39,0.0,0.0,812.5975,0.0,0.0,0.0,94,4.583333333333334,2,10,3,68.52,0,0,0,0,364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,2,0.0,0.0,150.0,150.0,"""WA""",1
25,1273.33,0.0,0.0,318.3325,0.0,0.0,0.0,179,3.6666666666666665,1,4,2,206.65,4,0,0,0,179,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,255.0,2,1.0,0.0,200.0,255.0,"""CA""",1
26,873.0,0.0,0.0,218.25,0.0,0.0,0.0,43,2.0,1,1,12,0.0,0,0,1,0,115,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,2,0.0,0.0,200.0,500.0,"""UT""",0
27,2747.2200000000007,0.0,0.0,502.305,184.5,0.0,0.0,179,3.0,2,11,1,98.86,0,0,0,0,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,200.0,250.0,"""KS""",1
