,monthly_income,gig_economy_weekly_income,atm_check_deposits_weekly_income,direct_deposit_weekly_income,government_aid_weekly_income,frequency_heuristic_weekly_income,large_deposits_weekly_income,income_length,payrolls_per_month,income_sources,days_since_most_recent_payroll,days_until_next_payroll,bank_balance,overdraft_transactions,nsf_transactions,return_transactions,reverse_transactions,length_of_transaction_history,mortgage,auto_loan,student_loan,traditional_single_payment,installment_loan,predatory_installment_loan,title_loan,pay_advances,total_loan_payments,no_of_other_active_loans,traditional_single_payment_mean,traditional_single_payment_trend,loan_amount,loan_requested,state,status
0,952.0,0.0,238.0,0.0,0.0,0.0,0.0,180,5.0,1,1,-1,-43.07,0,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,200.0,200.0,"""CA""",0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,-1,-1,0.0,0,0,6,0,14,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,72.0,1,9.0,0.0,500.0,500.0,"""UT""",0
2,2095.94,0.0,0.0,0.0,0.0,0.0,523.985,9,3.0,1,4,-1,-181.66,0,0,0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,300.0,300.0,"""WA""",0
3,7368.99,0.0,5.0,1837.2475,0.0,0.0,0.0,177,5.5,3,2,4,-330.0,9,6,5,1,178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,255.0,255.0,"""CA""",0
4,2178.57,311.1425000000001,233.5,0.0,0.0,0.0,0.0,54,18.5,2,2,-1,0.46,0,5,5,0,54,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,1,0.0,0.0,250.0,250.0,"""WA""",0
5,2178.57,311.1425000000001,233.5,0.0,0.0,0.0,0.0,53,18.5,2,1,-1,0.46,0,5,5,0,53,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,1,0.0,0.0,500.0,500.0,"""WA""",0
6,3462.8,0.0,0.0,0.0,0.0,0.0,865.6999999999998,27,2.5,1,5,-1,24.33,0,0,0,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,500.0,500.0,"""UT""",0
7,126.84,0.0,31.71,0.0,0.0,0.0,0.0,0,0.0,0,2,10,-2.31,0,7,0,0,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,500.0,500.0,"""ID""",0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,-1,-1,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,200.0,200.0,"""WA""",0
9,4289.3600000000015,0.0,125.0,947.34,0.0,0.0,0.0,86,6.333333333333334,3,6,0,-437.83,0,2,0,0,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,500.0,500.0,"""WA""",0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,-1,-1,0.0,30,0,2,0,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,300.0,300.0,"""ID""",0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,-1,-1,-114.26,6,0,0,0,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,300.0,300.0,"""ID""",0
12,1987.9700000000007,0.0,0.0,496.99250000000006,0.0,0.0,0.0,207,1.875,1,11,2,0.0,0,7,0,0,208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,500.0,500.0,"""WA""",0
13,1612.0,0.0,19.0,0.0,0.0,0.0,384.0,65,7.999999999999999,4,0,-1,1.38,0,0,0,0,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,500.0,500.0,"""WA""",0
14,1131.91,0.0,33.5,0.0,0.0,249.4775,0.0,24,6.0,2,3,10,44.24,0,0,0,0,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,250.0,350.0,"""WA""",0
